Model,AIC,BIC,Log-Likelihood,N_Params,Pseudo_R2,Correlation,Correlation_R2,Converged,Delta_AIC
interaction_effects,-4728.048083409125,-4650.565150893311,2380.0240417045625,16,0.8958552738108936,0.9478095395988282,0.8983429233545427,True,0.0
random_slope,-4641.554902413936,-4583.442703027075,2332.777451206968,12,0.9238404069344139,0.9623964454776862,0.9262069182680851,True,86.4931809951886
basic_random_intercept,-4313.732621097037,-4279.833838121368,2163.8663105485184,7,0.8136234081910485,0.9047387998379259,0.8185522959321706,True,414.31546231208813
