Model,AUC_Score,CV_Mean,CV_Std,Optimal_Threshold
NN_Deep_Original,0.6322344322344323,0.5868572993271789,0.04287291809174184,0.1455323265732734
NN_Shallow_1,0.5516483516483517,0.5689073175820164,0.05997791859746896,0.08598702634098974
NN_Shallow_2,0.6153846153846154,0.5875788869764773,0.08404972206032069,0.12827265377266517
NN_Shallow_3,0.613919413919414,0.5606639545193761,0.060216539156005965,0.07627137136535488
NN_Shallow_Wide,0.6549450549450548,0.5712621916236374,0.0558334364741886,0.044222142664701404
